Ensembl_ID,Gene_name,Ensembl_description,Ext_ref_description,Biotype,URL
ENSMUSG00000002846,Timmdc1,translocase of inner mitochondrial membrane domain containing 1 [Source:MGI Symbol;Acc:MGI:1922139],translocase of inner mitochondrial membrane domain containing 1,protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000002846
ENSMUSG00000016319,Slc25a5,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5",protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000016319
ENSMUSG00000021967,Mrpl57,mitochondrial ribosomal protein L57 [Source:MGI Symbol;Acc:MGI:1915090],mitochondrial ribosomal protein L57,protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000021967
ENSMUSG00000021973,Micu2,mitochondrial calcium uptake 2 [Source:MGI Symbol;Acc:MGI:1915764],mitochondrial calcium uptake 2,protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000021973
ENSMUSG00000022792,Yars2,tyrosyl-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917370],tyrosyl-tRNA synthetase 2 (mitochondrial),protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000022792
ENSMUSG00000024580,Grpel2,"GrpE-like 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1334416]","GrpE-like 2, mitochondrial",protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000024580
ENSMUSG00000024902,Mrpl11,mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215],mitochondrial ribosomal protein L11,protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000024902
ENSMUSG00000037531,Mrpl47,mitochondrial ribosomal protein L47 [Source:MGI Symbol;Acc:MGI:1921850],mitochondrial ribosomal protein L47,protein_coding,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000037531
ENSMUSG00000091498,Mpc1-ps,"mitochondrial pyruvate carrier 1, pseudogene [Source:MGI Symbol;Acc:MGI:3781628]","mitochondrial pyruvate carrier 1, pseudogene",processed_pseudogene,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000091498
ENSMUSG00000117357,RP23-427N16.1,translocase of outer mitochondrial membrane 20 (Tomm20) pseudogene,,transcribed_processed_pseudogene,https://uswest.ensembl.org/mus_musculus/Gene/Summary?g=ENSMUSG00000117357
