Ensembl_ID,Gene_name,Ensembl_description,Ext_ref_description,Biotype,URL
ENSNFUT00015005751,ckbb-201,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005751
ENSNFUT00015005753,ckbb-202,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005753
ENSNFUT00015005783,ckbb-203,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005783
ENSNFUT00015005791,ckbb-204,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005791
ENSNFUT00015005800,ckbb-205,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005800
ENSNFUT00015005812,ckbb-206,,"creatine kinase, brain b",protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015005812
ENSNFUT00015025091,gbx2-201,,gastrulation brain homeobox 2,protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015025091
ENSNFUT00015027673,bri3-201,,brain protein I3,protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015027673
ENSNFUT00015034957,adcy2b-201,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015034957
ENSNFUT00015035014,adcy2b-202,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035014
ENSNFUT00015035060,adcy2b-203,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035060
ENSNFUT00015035293,adcy2b-204,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035293
ENSNFUT00015035328,adcy2b-205,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035328
ENSNFUT00015035341,adcy2b-206,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035341
ENSNFUT00015035382,adcy2b-207,,adenylate cyclase 2b (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015035382
ENSNFUT00015037789,bdnf-201,,brain-derived neurotrophic factor,protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015037789
ENSNFUT00015043912,stx1a-201,,syntaxin 1A (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015043912
ENSNFUT00015043921,stx1a-202,,syntaxin 1A (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015043921
ENSNFUT00015043924,stx1a-203,,syntaxin 1A (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015043924
ENSNFUT00015043929,stx1a-204,,syntaxin 1A (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015043929
ENSNFUT00015043932,stx1a-205,,syntaxin 1A (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015043932
ENSNFUT00015045830,adcy8-201,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045830
ENSNFUT00015045838,adcy8-202,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045838
ENSNFUT00015045839,adcy8-203,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045839
ENSNFUT00015045848,adcy8-204,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045848
ENSNFUT00015045856,adcy8-205,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045856
ENSNFUT00015045863,adcy8-206,,adenylate cyclase 8 (brain),protein_coding,https://uswest.ensembl.org/nothobranchius_furzeri/Gene/Summary?g=ENSNFUT00015045863
