Ensembl_ID,Gene_name,Ensembl_description,Ext_ref_description,Biotype,URL
ENSG00000034713,GABARAPL2,GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291],GABA type A receptor associated protein like 2,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000034713
ENSG00000104853,CLPTM1,CLPTM1 regulator of GABA type A receptor forward trafficking [Source:HGNC Symbol;Acc:HGNC:2087],CLPTM1 regulator of GABA type A receptor forward trafficking,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000104853
ENSG00000139112,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068],GABA type A receptor associated protein like 1,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000139112
ENSG00000170296,GABARAP,GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067],GABA type A receptor-associated protein,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000170296
ENSG00000236942,,GABA(A) receptor-associated protein (GABARAP) pseudogene,,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000236942
ENSG00000238244,GABARAPL3,GABA type A receptor associated protein like 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:4069],GABA type A receptor associated protein like 3 pseudogene,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000238244
ENSG00000250330,,GABA(A) receptor-associated protein-like 2 (GABARAPL2 ) pseudogene,,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000250330
ENSG00000254247,,GABA(A) receptor-associated protein-like 2 (GABARAPL2) pseudogene,,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000254247
ENSG00000255365,,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) (DBI) pseudogene",,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000255365
ENSG00000255958,GABARAPL1-AS1,GABARAPL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54822],GABARAPL1 antisense RNA 1,lncRNA,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000255958
ENSG00000257852,,"gamma-aminobutyric acid (GABA) A receptor, pi (GABRP) pseudogene",,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000257852
